X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
-106.0691,28.633,377,Chihuahua,Mexico,2020/09/05 09:28:32+00,28.633,-106.0691,8229,6312,1177,740,,,"Chihuahua, Mexico"
-99.1332,19.4326,378,Ciudad de Mexico,Mexico,2020/09/05 09:28:32+00,19.4326,-99.1332,102938,84591,10780,7567,,,"Ciudad de Mexico, Mexico"
-101.7068,27.0587,379,Coahuila,Mexico,2020/09/05 09:28:32+00,27.0587,-101.7068,22536,19419,1462,1655,,,"Coahuila, Mexico"
-104.0072,19.1223,380,Colima,Mexico,2020/09/05 09:28:32+00,19.1223,-104.0072,3905,3031,453,421,,,"Colima, Mexico"
-104.6588,24.5593,381,Durango,Mexico,2020/09/05 09:28:32+00,24.5593,-104.6588,6814,5484,474,856,,,"Durango, Mexico"
-101.2574,21.019,382,Guanajuato,Mexico,2020/09/05 09:28:32+00,21.019,-101.2574,33272,27829,2273,3170,,,"Guanajuato, Mexico"
-99.5451,17.4392,383,Guerrero,Mexico,2020/09/05 09:28:32+00,17.4392,-99.5451,15263,12734,1685,844,,,"Guerrero, Mexico"
-98.7624,20.0911,384,Hidalgo,Mexico,2020/09/05 09:28:32+00,20.0911,-98.7624,10778,8367,1672,739,,,"Hidalgo, Mexico"
-103.3494,20.6595,385,Jalisco,Mexico,2020/09/05 09:28:32+00,20.6595,-103.3494,21441,16850,2586,2005,,,"Jalisco, Mexico"
-99.7233,19.4969,386,Mexico,Mexico,2020/09/05 09:28:32+00,19.4969,-99.7233,70075,58296,8225,3554,,,"Mexico, Mexico"
-101.7068,19.5665,387,Michoacan,Mexico,2020/09/05 09:28:32+00,19.5665,-101.7068,15828,13153,1259,1416,,,"Michoacan, Mexico"
-99.1013,18.6813,388,Morelos,Mexico,2020/09/05 09:28:32+00,18.6813,-99.1013,5333,4073,989,271,,,"Morelos, Mexico"
-104.8455,21.7514,389,Nayarit,Mexico,2020/09/05 09:28:32+00,21.7514,-104.8455,5155,4154,617,384,,,"Nayarit, Mexico"
-99.9962,25.5922,390,Nuevo Leon,Mexico,2020/09/05 09:28:32+00,25.5922,-99.9962,30679,24948,2395,3336,,,"Nuevo Leon, Mexico"
-96.7266,17.0732,391,Oaxaca,Mexico,2020/09/05 09:28:32+00,17.0732,-96.7266,14088,12151,1273,664,,,"Oaxaca, Mexico"
